File,Transcript,Translation
D88,sir adhu  superrrrrrra irukkum.,sir this is super
D89,sir ku age pogadu,sir;s age never goes
D90,Aana padatha release panna maatringale ,but not releasing the movie
D91,Trailer lam nalla irukku,trailer is good
D92,Ippo Bigboss vetukulla vikrama anupe,now vikram  will be sent to bigboss house
D93,mass chiyaan vikramyamaan daakk na yaruu?,see who is great chiyan vikramayan
D94,Ita yavudu release panna udunga,atleast allow to release this
D95,Indha trailera big bossla podanumnu,show put this trailer in bigboss
D96,Next ulaga nayagan namma chiyan,next world class actor is chiyan
D97,Ghibran ku aaagavey padam hit aaganum,this movie will be hit because of ghibran
D98, semaya iruku.. Chiyaan ipdi paaka,to see chiyan like this is great
D99, paaka transporter Tamil remake maari iruku,looks like transporter tamil remake
D100,Vikram sir ella costumum ella characterum ,no costum no character without chiyan sir
D101,Meaning of kadaram kondan is king of Malaysia,meaning of conquerer of kadaram is king of malaysia
D102, gibran Vera level,gibran is great
D103,Trailer pakka super ah iruku,trailer is superr to watch
D104, but Rajesh neenga edhutha thungavanam padatha,but rajesh we look at thungavanam which you took
D105,Vera level getup last minute ,great last minute getup
D106,Konjam Irumugan Madhiri irukku....All the best,little bit it is like irumurgan movieall the best
D107,Chiyaan  semma   Love from kerala,chiyan is great love from kerala
D108,Vikramuku Indha padam hit kodukum,this movie is a hit for vikram
D109,accept pannuravunga like pannunga,whoever accepts will like also
D110,Missed shruti hassan's kadam kondam song,we missed shruti hasan kadan song
D111,but i want karikalachozhan also,but i want king chozhan also
D112,Ethirpartha alavukku illa...bgm,bgm is not the one which we expected
D113,Ama Inga enga Kamal Hassan ah kanom,why cant we fing kamal hasan here
D114,Yen pa idu trending la elha,why is this not trendiing
D115,Dei Vikram ku trailer mattum nalla pannuvanga,vikram only does the trailer nicely
D116,Ana movie mokkiya irukum.,but movie is boring
D117,Vaasu yaar adhu aiyo namma mind shruthi hassan ,whoever or whatever our mind has only shruti hasan
D118,Semma semma CG AND SEMMA BACKGROUND,great cg and great backgroung
D119,Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa,"is this even hollywood movie,our siva sir took one see"
D120,Appo  phone ai thatti vitta  sivakumar,that time he threw the phone from the hand
D121,All best to 2.0  nanga ellarum kannadigas,all the best 2.0 we all are kannadigas
D122,Trailer na  ipdi irukanum!,trailer should be like this
D123, Semma happy daa ,very very happy dude
D124,Tamil cinema 2.0 vera level la irukku ,tamil cinema 2.0 is so great 
D125,Graphics sari illa nu solrathukune oru gang,there is a gand to critisize the graphics
D126,massa mari iruku trailer,trailer is soo super
D127,VFX mokka Daww sollitu oru group,there is group to critisize the vfx
D128,Hollywood movie trailer pakara mari ruku,looks like a hollywood movie
D129, appo vfx mokkanu pesna  pasangala,many spoke vfx is badd
D130,Power rangers maadhiri eduthu vachirukinga,they have took it as a power ranger movie
D131,Pora Pokkil Oru Look-ah Vittu,"with a careless glance, as she went past me"
D132,First-u Look-ah Vechu Bokkunudhaan,"with the first look, with a bang"
D133,Love-u Book-u Onnu Nenjukulla Open Senjitaley,"a book of love,she has opened in my heart
"
D134,Enakku Nee Easy-ah Thaan Venaam,i won’t want you to fall easily for me
D135,Pesi Pesi Correct Pannavenna,i will sweep you off with my sweet talk
D136,Iruttu Room-la,in a dark room
D137,LED Light ah Pottutaa,you came firing up a led lamp
D138,Petrol-ah Oothittaa, you came as the fuel that fills it up
D139,Pammi Poi Paddhuguna Enna Dhaan,so shy i was
D140,"20 Varushama,Idhukkunu Theruvula Therinjavan Dhaan","20 years of my life,i have been roaming the streets for this"
D141,"Hey, En Gøli Sodaave","hey, my fizzy cold drink"
D142,En Kari Køzhamve,my spicy hot sauce.
D143,Un Kutti Puppy Naan,i’m your little puppy
D144,"Hey, En Silku Sattae","hey, my silku soft thing"
D145,"Hey! My Dear Machan, Nee Manasu Vechaa","my dear prince, just say the words"
D146,"My Dear Rani, En Dream La Vaa Nee","my dear princess, you rock my dreams"
D147,"Raa, Namma Beachu Pakkam Pøthaam","come, let’s hit the beach"
D148,Nee Ennudaiya Røwdy,you are my rowdy
D149,"Raa, You Are My Only Friend","come, you’re my only friend"
D150,I Will Give You Pøochendu,"here, i’ve got you flowers"
D151,One Plus One Two Maamaa,"one plus one is two, my love"
D152,Naan Unnulla Paadhi Namma Semma PAIR,i’m part of you. we’re the perfect pair
D153,Why This Kolaveri Kolaveri Kolaveri Di,why this killer instinct so severe
D154,"Distance-Ula Moonu Moonu,Moonu Color-U White-U,","ln the distance, moon’s light shining bright, so white"
D155,"moonu Background Night-U Night-U,",moon’s backdrop is the night.
D156,White Skin-U Girl-U Girl-U,girl with a white skin
D157,Girl-U Heart-U Black-U,but heart black within
D158,Maama Notes Eduthuko,"dude, take down notes"
D159,Appadiyae Kaila Snacks Eduthuko,also snacks with my quotes
D160,Mana Mana Mana Mental Manadhil,this crazy heart
D161,Indru Mattum King And Queena,"for today, we’re the king and queen"
D162,Ok En Kanmani Madiyil,cradled in my sweetheart’s arms
D163,Let me sing a kutti story,let me sing a small story
D164,Enna na English’u,why english bro
D165,Vehnam tension Leave it,"don’t take tension,leave it
"
D166,Life is very short nanba,"life is very short, friend"
D167,Palavidha problems will come and go,different forms of problems will come & go
D168,Konjam chill pannu maapi,"take a chill, dude"
D169,Speed’ah pona Gavanam must’u,while speeding up you must pay attention
D170,Slow’ah pona Steady’um must’u,on going slow remaining steady is a must
D171,Friends’ah ninna powerful maapi,"it’ll be powerful if you stand together as friends, buddy"
D172,Negativity ellam thallivai baby,keep negativity at a distance baby
D173,Positivity unnai life pannum baby,"positivity will lift you up, baby"
D174,Hardwork’um venum Smart work’um venum,both hardwork & smartwork is require
D175,Self motivation Athu neethaane,you are the self-motivation
D176,Education venum Dedication venum,both education & dedication is required
D177,Self valuation Atha panni paaren,try to do self-valuation
D178,Person spreading hatred maapi,"the person spreading hatred, dude"
D179,Pinnadi pesurathu romba crappy,back biting is very crappy
D180,Vaadi EnTamilselvi,come here tamil girl
D181,ennaku bore adikkudhadi.,it’s boring
D182,Once side-ah love pannithaan,to have a one side love
D183,double side-ye love pannathaan romba naalaa ready,i’m alwaysready for two side love
D184,half rate-ula vandi vaangi,half rate bike fair 
D185,unaku ooru suththi kaattatummaa,shall i take you around the city
D186,Sambala covera thorakka maatteney,i will not open my salary cover
D187,oruvaatti ok solli paaru,tell “ok” once to me
D188,manasu sync aanaa podhum,enough if our mind sync together
D189,ad poyendi ne ok solli,can’t you just say “ok”
D190,Inime Tik Tok ellam inga ban’u ma,tik tok has been banned these days
D191,Nera duet paada vaayen ma,come out and sing duet with me
D192,Romba strict’ah irundhathellam podhumma,it’s time to loosen up
D193,Konjam sweet’ah sirichu pesaen ma,give me some sweet-loving talks
D194,Kannu rendum gun amma,your eyes are like smoking guns-ma
D195,Mezhugu doll’u nee,you resemble a wax doll
D196,Azhagu school’u nee,you’re the school of beautiful
D197,Handsome aalu nee,“you’re  handsome man
D198,Super cool’u nee,and your’re way too fly
D199,Naanum neeyum thaan Semma jodi,you and i are couple goals
D200,Podhuva dhoni pola naanum calm’u ma,i’m usually as calm as dhoni
D201,Innikki excitement aanen ma,but today is excitement mode
D202,Life time settlement’u naan thaan ma,i am your lifetime settlement
D203,Cell’odu orasura,brush against my every cell
D204,Kallana manasa thaan Chill’ana sirippula  silka vakiraye,you dissolve this stone like heart with your chilled-out smile
T1,Everythime book vachta study paanalpla acting panna kudadu,Everytime by keeping the book open don't pretend like you are studying ok?
T2,Sarva evening play paana podu carefulla play pannu,Sarva be careful while playing in evening
T3,Today house clean panno Today read panno,Today we cleaned the house and read books
T4,Tomorrow nalla play paanuo,Play well tomorrow
T5,Tomorrow examke naala prepare pannu,Prepare well for tomorrow's exam
T6,Tomorrow morning ellaru walking poanu,Tomorrow morning let all of us go for a walk
T7,Lifelong happya irukanu,You have to be happy lifelong
T8,All students auditoriumle assemble aayedge,All students assemble in the auditorium
T9,Ella struggleseu thandi win pannanu,You have to overcome all the struggles
T10,College le best studenta varunu,You will have to emerge as best student in the college
T12,Yada nanche feel panna kudadu,You shouldn’t worry about anything
T13,Pooja ke time aache come fast!,It's time for pooja come fast!
T14,Ne yaanda school le study pannare?,Which school are you studying in?
T15,Seekra door open pannu,Open the door fast
T16,Evlo time study pannave?,How many times do you have to study?
T17,Everytime timepass pannade,Don’t waste your time everytime
T18,Morning walking povalama?,Can we go for a morning walk?
T19,Please pooja timele disturbe pannade,Please don’t disturbe during pooja time
T20,Mac ke bathing panna vachiya?,Did you assist mac in bathing?
T21,Ennake tuition class start aagad ke minnadi breakfast finish pannu,My tuition classes are about to start finish breakfast before that
T22,Every night ya dinner edke maatingere,Why do you skip dinner every night?
T23,Dinner ready vaange saapdla,Dinner is ready let's eat
T24,Every time phone use pannadinge,Don’t use phone everytime
T25,Tooke varade please don’t disturb me,I am feeling very sleepy donot disturb
T26,Food ready aaache vama saapd vama,Food is ready let's eat
T27,Daddy ke call panna ma,Call daddy
T28,Parrot odu cage clean panniya ma?,Did you clean the parrot's cage?
T29,Dress proper aa pannu ma,Dress properly honey
T30,Today newspaper vandaducha?,Did newspaper arrive today?
T31,Bathinmg mudungarcha? Vaange sapde,Are you done with your batjing? Lets eat now
T32,Fruits health ke nalla ma naarya saapde,Fruits are good for health eat a lot of fruits
T33,Mosquito narya irrku window la close pannu,There are lot of mosquitoes close the windows
T34,Sleeping time aache bed ready panniya?,It's sleeping time can I get the bed ready?
T35,Flower vase la nalla clean panni vayi rumba dirty ya irrku,Clean the flower vases its very dirty
T36,College time aache seekru ready aage,It's time for your college get ready fast
T37,Everday one glass milk yadu eduthko,Everyday you have to drink one glass of milk
T38,Shoe potutu walking po,Wear shoes while walking
T39,Fruits nalla clean pannite saapde,Clean the fruits before eating
T40,Sofa mele leg vakade dirty ya aayadu,Don’t keep your leg on sofa its making the sofa dirty
T41,Basketball valladlama?,Can we play basketball?
T42,Bag ya clean panni vayi,Put all the bags for cleaning
T43,Right hand le nailpolish podade,Don't appluy nail polish in right hand
T44,Everyday prayer panna kathuko,Learn to pray everyday
T45,Unnode cloth yallame washing machine le pode,Put all your clothes in the washing machine
T46,Weekly once se shoe yala wash pannidu,Wash you shoes weekly once
T48,Naan walking popore,I am going for a walk
T50,Lunch ready aache vanuma?,Is luch ready can we come?
T51,Bucket full water fill panni vayi,Fill the  bucket with water
T52,Use aagade chapalla throw paaanu,Throw the slippers not in use
T53,Naan manage pannave,I will manage
T54,Naan win pannave,I will win surely
T55,Naan heat water drink pannaven,I drink only heat water
T56,TV on na irrku off pannu,Tv is on switch it off
T57,Naan god de worship pannve,I am worshipping god
T58,Inde bangles nalla desing aa irrku venuma?,Can I get bangles of good designs here?
T59,Naan sleep panna pohiren,I am going to sleep
T60,Tea le gaggery use pannava?,Can you use brown sugar in tea?
T61,Without sugar tea make pannuma,Can you make tea without sugar?
T62,Chappati ready aayedche vaama saapde,Bread is ready lets eat
T63,Trisha badminton vadayalama?,Trisha lets play badminton?
T64,Cricket vadayalama?,Lets play cricket?
T65,Naan nandahe run pannuve,I jog everyday
T66,Ennke daily jogging panna pudichum,I like to jog very morning
T67,Outside rain ya irruku ma treadmil le walking pannu,It's raining outside lets walk on treadmil
T68,Lifelong aarogiyam ma irrkunum,You should be happy lifelong
T69,Garden povlama play pannadeth ke?,Can we go to garden to play?
T70,Swimming pool la open aaydche va swimming pannala,Swimming pools are open lets go for swimming
T71,Healthy food saapdanum,Eat only healthy food
T72,Body le soap podanum,Put soap on your body
T73,New dress vaagita vandadeke paathiya?,I have brought a new dress didi you see it?
T74,Naan kaleyel brush pannave,I will brush tomorrow morning
T75,Face wash saiven,I am washing my face
T76,Car drive pannu modu careful la pannuma,Be careful while driving car
T77,Rainly season le rain shoe use pannu ma,Use rainy shoes during rainly season
T78,Trisha aande plate eeduthava,Trisha get that plate here
T79,Dress proper aa pannu ma,Dress peoperly
T80,Aunty oode house rumbe nalla irruku la?,Aunty's house is very clean
T81,Naan glass sel quarter drink panneve,I drink quarter in a glass
T82,Naambe house ke interior konje change pannuma,We have to change our house design
T83,Window open paanade parrot parandedu,Don’t open the window the parrot will fly away
T84,Naan dinamum car drive pannuve,I drive car everyday
T85,Evening cycling pannalama?,Can we go for cycling in the evening?
T86,Een avan sleep sehirran?,Why is he sleeping?
T87,Sunday beach polama?,can we go to beach on Sunday?
T88,Phone charge le vacchingala?,Did you keep the phone on charge?
T89,Rcity mall le enna purchase pannene?,What did you purchase in Rcity mall?
T90,Ennke leg ge la pain na irrku massage panni udviya?,My leg is paining can you massage it?
T91,Study panna appro proper a shelf le vayuma,After studying keep the books in proper shelves
T92,Ennode earring design nalla irruka?,Is my earring design pretty?
T93,New phone venuma ma?,Do you want new phone?
T94,Peanuts venu ma saadpde?,Do you want to eats some peanuts?
T95,Everyday milk 7 o'clock minnadi  venu,In need milk everyday before seven o'clock
T96,Innde hair style change panne ma naalave illai,Change your hairstyle it isn't looking good
T97,Naan oru good fellow,I am a good fellow
T98,Mac toongede disturbe pannadinge!,Mac is sleeping Don’t disturb!
T99,Drawing pandithe before pencil nallam sharp panniko ma,Before drawing always sharpen your pencil
T100,College bag la wash panni vainge,Wash your college bags
T101,APMC market le fruits la rumba cheap pa kadicadu,The fruits are very cheap in APMC market
T102,Tomorrow APMC market poulama nanchet irrke,I am planning to go to APMC market tomorrow
T103,Semester ke appro naange europe tour povelama?,Can we go to Europe tour after this semester?
T104,Hotwater ready aache waterbottel le fill pannunge,Hotwater is ready fill it in the waterbottle
T105,Wall clock le battery change pannu ma,Change the wall clock's battery
T106,Bigboss le rubina oude acting roomba nalla irruku,In biggboss rubina's acting skills were commendable
T107,College bus ende timethle varu?,When will the college bus arrive?
T108,Roti runba soft aa irruku,The bread is very soft
T109,3 roti yaadu saapde ma,Don’t eat only three breads
T110,Cold aa irrukude endu medicine irreka ma?,Do you have any medicine for cold?
T111,Malaysia tour poovelama?,Can we go on a malaysia tour?
T112,Dhilip please exercise pannupa,Dhilip please exercise daily
T113,Everday exercise pannade rumba important theruma?,Everday it is very important to exercise ok?
T114,Stomach pain vanna yenna seyanu?,What to do when your stomach pains?
T115,Hair dye use pannala itching varduma enna pannalam?,After using hair dye my head itches a lot what should I do?
T116,Every night after food nalla brush pannidthe aa padkunu,Every night you should brush your teeth andthen sleep
T118,Milk veenu ma?,Do you want milk?
T119,College ke outside paaru flowers evlo nalla irruku,Flowers outside college are very besutiful
T120,College greden nalla clean na vacherkange,College garden is very neat and clean
T121,Tubelight sarriyale erriyale change panni the vange,Toubelight isn't working go and change it
T122,Self confidence ruumba mukkiyoma,Self confidence is very important
T123,Hand wash panname saapde kudadu,Wash your hands and then come to eat
T124,World leyu rummbe important time ande time leyu waste panna kudadu,Time is the most important factor in the world we should never waste time
T125,Morning eelinderche prayer pannanu roomba nalladu,It's very important to prayer every morning
T126,11 o'clock aache va toongla,It's eleven o'clock lets go to sleep
T127,Runwal greens le irruku modu nalla timepass aache eenuku,My time used to pass quickly in Runwal Greens
T128,Inge vandedake appro roomba bore aa irrukudu,Here I get bored
T129,Runwal greens le friends oode walking paanade roomba podichedu,I love walking with my friends in Runwal Greens
T130,Trisha naan sleep seeiye pohiren,Trisha I am going to sleep
T131,Please study panna modu phone silent le vaayema,Please keep your phone on silent while studying
T132,Alka shopping povalama?,Alka can we go shopping?
T133,Rcity mall leda offer naarya irrukudu aange povanu,Rcity mall have lot of offers lets go there
T134,Fruits la wash pannitu fridge le vaaye,Wash the fruits and keep it in the fridge
T135,Head paina irrukude naan seekro toonge poveren,My head is paining so I am sleeping early
T136,Morning 5 o'clock yelandeche walking poovena full day happy ya irrukala,If we go for a walk morning five o'clock then you can be happy the whole day
T137,Junk foog la avoid pannade rooma nalladu,You should avoid junk food
T138,Unnal morithendede naarya peeru ke help panndu roomba nalladu,You should help as much people as you can
T139,Night turmeric milk saapdede roomba nalla du,Turmeric milk during night is very good for health
T140,Elder kitte respect aa irrukanu,You will have to be respectful to elders
T141,Enterance ille flower pot lela water podu ma,Water the flower pots near the entrance
T142,The World One wroli le irruku da aadle new house book pannalama?,Can we purchase a new flate in The World One wroli?
T143,50 above le meele uule floor le vaange lama?,Can we book above 50th floor?
T144,Eedadu good work pannadan seekrum mai sleep varu,If you do good deeds then only you can sleep well
T145,Ego uule friends le la avoid pannanu,Avoid friends with ego issues
T146,Good friends irrinda naanglum good aa irrupo,If you have good friends then only you can be good as a person too
T147,Screen nala change pannange,Change the screens
T148,Uma ennode hairstyle eepdi irruku?,Uma how is my hairstyle?
T149,Morning 5:30 gym ke poovelama?,Can we go to the gym morning 5:30?
T150,Day lela night dress use pannade,Don't use nightware during day
T152,Everyday morning muesli mattu saapdade yedadu change panni saapde,Everday don't just eat museli have something different at times
T153,Dad ooude tiffin box la wash panni vaayi,Wash dad's tiffin boxes
T155,Tiffin ready ya aache dad ooude car le vacchete va,Tiffin is ready go and keep it in dad's car
T156,Don't smile! Roomba harda ooule project la eedudake,Don't laugh! You have opted for a very diffcult project
T158,Everday half and hour GK book read pannu ma,Everday half and hour you should read general knowledge books
T159,Maid kitte switch lela clean pannu sulle,Ask the maid to clean the switches
T160,Office boy vaanda fan lela clean panna sulle,When office boy comes ask him to clean the fans
T161,Yesterday night laptop on le vacchite toongi the neenu,Yeaterday night you forgot to switch off your laptop
T162,Yaaro vandukungange door open pannuma,Somebody is in front of the dooe please check
T163,Pragati homework la complete panniya,Pragati did you complete the homework?
T164,Jaidarshan yaa online class attend pannave ille 2 days aa?,Jaidarsha why are you not attending online class since last two days?
T166,Pragati weekly two days test kukukanu ok va?,Pragati weekly two days you have to give test ok?
T167,Online class poyita modu yaa TV noise varade?  TV off pannuga!,During online class why there is a lot of TV noise in the background? Switch off the TV!
T168,Jaidarshan maths le second and third lesson complete panniya?,Jaidarshan have you completed second and third lesson in maths? 
T169,Everyday ennode homework complete panna da nee tooganu ok va?,Everyday without completeing my homework donot go to sleep ok?
T170,Atleast night ten o'clock yaadu study pannu aapo da portion complete aau pooriyada?,Atleast study till 10 o'clock then only your portinn will get completed on time understood?
T171,Pragati science le fourth lesson complete pannitiya ma?,Pragati have you completed fourth lesson in science?
T172,Sarva enna pannite irruke? Study timethele play panna de!,Sarva what are you doing? Don't disturb while studying!
T173,Jarkaran english grammer la complete panniya?,Jaidarshan have you completed english grammer?
T174,Prathemesh science le eethne lesson complete pannirke pa?,Prathemesh how much lesons have you completed in science?
T175,Geeta always ya class le late aa atend pannare?,Geeta why are you always late?
T176,Suja good girl correct tao timethle class le vara homeworku complete pannite vara!,Suja is a good girl she attends the class in proper time and also completes her homework on time!
T177,Trishna nee yenne mental aakite da viduven na nanikeren,Trishna I guess you are going to make me crazy
T178,Voon books yaa neat tave illai?,Why are your books so dirty?
T179,Books yela propera vayi,Keep the books properly
T180,Gym ke taani shoe irrukudu aade eeduthu po,You will have to take different shoes to the gym
T181,Outside le use panni shoe use paanade ma aadekene taani shoe yedethe po,Don't use outside shoes there is a different shoes for this
T182,Fridge nalla close panni vayi,Close the fridge properly
T183,I don’t like hair dye vere yenna pannla hair le black ka vaakideth ke?,I don't like hairdye what else can I do to keep my hair black?
T184,Eevlo seekro uu toongi rengiga eede enna sleeping time aa?,Why are you going to sleep this early is this a ideal sleeping time?
T185,Afternoon le toonge ve kudadu health theke naalade illai,Afternoon nap is not good for health
T186,Homework complete panni tinala free timeth le drawing panni paarenge,After completing homework during your free time try drawing
T187,Palying pannadu roomba important everyday five gto six play pannanu ok va?,Playing is very important! Everyday you should play from five to six ok?
